verdict         winner         sim  margin  runner-up      sim  row         id
abstain:both    enumeration  0.262  +0.015  thematic     0.247  -           factual_einstein_1905
abstain:both    tension      0.224  +0.033  enumeration  0.191  -           factual_yalta_leaders
abstain:sim     tension      0.301  +0.059  trajectory   0.242  -           factual_special_vs_general_relativity
abstain:both    tension      0.183  +0.009  trajectory   0.174  -           synth_manhattan_emigre_physicists
classified      tension      0.411  +0.239  thematic     0.172  unfiltered  synth_einstein_bohr_debate
abstain:both    trajectory   0.227  +0.034  tension      0.193  -           synth_industrial_revolution_origins
abstain:both    trajectory   0.240  +0.032  tension      0.209  -           synth_evolution_natural_selection
abstain:both    trajectory   0.245  +0.023  tension      0.222  -           causal_roman_empire_fall
abstain:sim     tension      0.266  +0.058  trajectory   0.208  -           causal_french_revolution
abstain:both    tension      0.217  +0.029  trajectory   0.188  -           causal_great_depression_to_fascism
abstain:both    tension      0.195  +0.031  trajectory   0.164  -           compare_buddhism_christianity
abstain:sim     tension      0.292  +0.110  trajectory   0.182  -           compare_einstein_newton_gravity
abstain:both    tension      0.282  +0.042  enumeration  0.240  -           compare_curie_meitner
abstain:both    trajectory   0.203  +0.013  enumeration  0.191  -           boundary_ada_lovelace
abstain:both    thematic     0.272  +0.020  tension      0.252  -           boundary_emmy_noether
abstain:sim     tension      0.252  +0.057  thematic     0.194  -           boundary_copenhagen_interpretation
classified      tension      0.393  +0.162  thematic     0.231  unfiltered  contested_atomic_bombings_morality
classified      tension      0.357  +0.104  thematic     0.253  unfiltered  contested_colonialism_legacy
classified      tension      0.389  +0.142  thematic     0.247  unfiltered  contested_globalization_effects
abstain:sim     tension      0.317  +0.103  trajectory   0.213  -           contested_quantum_determinism
